sample_id	batch_id	green_idat	red_idat
8037737797-C	GSAv2	203408430052_R07C01_Grn.idat.gz	203408430052_R07C01_Red.idat.gz
8033684079-A	GSAv2	203408430052_R07C02_Grn.idat.gz	203408430052_R07C02_Red.idat.gz
8033673352-B	GSAv2	203408430052_R08C01_Grn.idat.gz	203408430052_R08C01_Red.idat.gz
8033684091	GSAv2	203408430052_R08C02_Grn.idat.gz	203408430052_R08C02_Red.idat.gz
8035158042-B	GSAv2	203408430052_R09C01_Grn.idat.gz	203408430052_R09C01_Red.idat.gz
8033684103	GSAv2	203408430052_R09C02_Grn.idat.gz	203408430052_R09C02_Red.idat.gz
8033684161	GSAv2	203408430052_R10C01_Grn.idat.gz	203408430052_R10C01_Red.idat.gz
8033684115	GSAv2	203408430052_R10C02_Grn.idat.gz	203408430052_R10C02_Red.idat.gz
8033684078	GSAv2	203408430052_R11C01_Grn.idat.gz	203408430052_R11C01_Red.idat.gz
8033684127	GSAv2	203408430052_R11C02_Grn.idat.gz	203408430052_R11C02_Red.idat.gz
8033684090	GSAv2	203408430052_R12C01_Grn.idat.gz	203408430052_R12C01_Red.idat.gz
8033684139	GSAv2	203408430052_R12C02_Grn.idat.gz	203408430052_R12C02_Red.idat.gz
NA12878-D	GSAv2	203408430054_R01C01_Grn.idat.gz	203408430054_R01C01_Red.idat.gz
8033684107	GSAv2	203408430054_R01C02_Grn.idat.gz	203408430054_R01C02_Red.idat.gz
8037702934-C	GSAv2	203408430054_R02C01_Grn.idat.gz	203408430054_R02C01_Red.idat.gz
8033684119	GSAv2	203408430054_R02C02_Grn.idat.gz	203408430054_R02C02_Red.idat.gz
8035158042-C	GSAv2	203408430054_R03C01_Grn.idat.gz	203408430054_R03C01_Red.idat.gz
8033684131-A	GSAv2	203408430054_R03C02_Grn.idat.gz	203408430054_R03C02_Red.idat.gz
8037702308-D	GSAv2	203408430054_R04C01_Grn.idat.gz	203408430054_R04C01_Red.idat.gz
8033684143	GSAv2	203408430054_R04C02_Grn.idat.gz	203408430054_R04C02_Red.idat.gz
8033684106	GSAv2	203408430054_R05C01_Grn.idat.gz	203408430054_R05C01_Red.idat.gz
8033684155-A	GSAv2	203408430054_R05C02_Grn.idat.gz	203408430054_R05C02_Red.idat.gz
8033684118	GSAv2	203408430054_R06C01_Grn.idat.gz	203408430054_R06C01_Red.idat.gz
8033684167	GSAv2	203408430054_R06C02_Grn.idat.gz	203408430054_R06C02_Red.idat.gz
8033684130	GSAv2	203408430054_R07C01_Grn.idat.gz	203408430054_R07C01_Red.idat.gz
8033684084	GSAv2	203408430054_R07C02_Grn.idat.gz	203408430054_R07C02_Red.idat.gz
8033684142-A	GSAv2	203408430054_R08C01_Grn.idat.gz	203408430054_R08C01_Red.idat.gz
8033684096	GSAv2	203408430054_R08C02_Grn.idat.gz	203408430054_R08C02_Red.idat.gz
8033684154	GSAv2	203408430054_R09C01_Grn.idat.gz	203408430054_R09C01_Red.idat.gz
8033684108	GSAv2	203408430054_R09C02_Grn.idat.gz	203408430054_R09C02_Red.idat.gz
8033684166	GSAv2	203408430054_R10C01_Grn.idat.gz	203408430054_R10C01_Red.idat.gz
8033684120	GSAv2	203408430054_R10C02_Grn.idat.gz	203408430054_R10C02_Red.idat.gz
8033684083	GSAv2	203408430054_R11C01_Grn.idat.gz	203408430054_R11C01_Red.idat.gz
8033684132	GSAv2	203408430054_R11C02_Grn.idat.gz	203408430054_R11C02_Red.idat.gz
8033684095-A	GSAv2	203408430054_R12C01_Grn.idat.gz	203408430054_R12C01_Red.idat.gz
8033684144	GSAv2	203408430054_R12C02_Grn.idat.gz	203408430054_R12C02_Red.idat.gz
NA12878-E	GSAv2	203533880001_R01C01_Grn.idat.gz	203533880001_R01C01_Red.idat.gz
8033684171	GSAv2	203533880001_R01C02_Grn.idat.gz	203533880001_R01C02_Red.idat.gz
8037713961-C	GSAv2	203533880001_R02C01_Grn.idat.gz	203533880001_R02C01_Red.idat.gz
8033684110	GSAv2	203533880001_R02C02_Grn.idat.gz	203533880001_R02C02_Red.idat.gz
8033673352-C	GSAv2	203533880001_R03C01_Grn.idat.gz	203533880001_R03C01_Red.idat.gz
8033163000	GSAv2	203533880001_R03C02_Grn.idat.gz	203533880001_R03C02_Red.idat.gz
8035158042-D	GSAv2	203533880001_R04C01_Grn.idat.gz	203533880001_R04C01_Red.idat.gz
8033684146	GSAv2	203533880001_R04C02_Grn.idat.gz	203533880001_R04C02_Red.idat.gz
8033684158	GSAv2	203533880001_R05C01_Grn.idat.gz	203533880001_R05C01_Red.idat.gz
8033684122	GSAv2	203533880001_R05C02_Grn.idat.gz	203533880001_R05C02_Red.idat.gz
8033684156	GSAv2	203533880001_R06C01_Grn.idat.gz	203533880001_R06C01_Red.idat.gz
8033163024	GSAv2	203533880001_R06C02_Grn.idat.gz	203533880001_R06C02_Red.idat.gz
8033684133-A	GSAv2	203533880001_R07C01_Grn.idat.gz	203533880001_R07C01_Red.idat.gz
8033684109	GSAv2	203533880001_R07C02_Grn.idat.gz	203533880001_R07C02_Red.idat.gz
8033163036	GSAv2	203533880001_R08C01_Grn.idat.gz	203533880001_R08C01_Red.idat.gz
8033163012	GSAv2	203533880001_R08C02_Grn.idat.gz	203533880001_R08C02_Red.idat.gz
8033162988-A	GSAv2	203533880001_R09C01_Grn.idat.gz	203533880001_R09C01_Red.idat.gz
8033684169-A	GSAv2	203533880001_R09C02_Grn.idat.gz	203533880001_R09C02_Red.idat.gz
8033684168	GSAv2	203533880001_R10C01_Grn.idat.gz	203533880001_R10C01_Red.idat.gz
8033684157	GSAv2	203533880001_R10C02_Grn.idat.gz	203533880001_R10C02_Red.idat.gz
8033684097-A	GSAv2	203533880001_R11C01_Grn.idat.gz	203533880001_R11C01_Red.idat.gz
8033684086	GSAv2	203533880001_R11C02_Grn.idat.gz	203533880001_R11C02_Red.idat.gz
8033684098	GSAv2	203533880001_R12C01_Grn.idat.gz	203533880001_R12C01_Red.idat.gz
8033684145-A	GSAv2	203533880001_R12C02_Grn.idat.gz	203533880001_R12C02_Red.idat.gz
NA12878-F	GSAv2	203533880004_R01C01_Grn.idat.gz	203533880004_R01C01_Red.idat.gz
8037706590	GSAv2	203533880004_R01C02_Grn.idat.gz	203533880004_R01C02_Red.idat.gz
8037701927-C	GSAv2	203533880004_R02C01_Grn.idat.gz	203533880004_R02C01_Red.idat.gz
8035134595-A	GSAv2	203533880004_R02C02_Grn.idat.gz	203533880004_R02C02_Red.idat.gz
8037737797-D	GSAv2	203533880004_R03C01_Grn.idat.gz	203533880004_R03C01_Red.idat.gz
8033479318	GSAv2	203533880004_R03C02_Grn.idat.gz	203533880004_R03C02_Red.idat.gz
8033673352-D	GSAv2	203533880004_R04C01_Grn.idat.gz	203533880004_R04C01_Red.idat.gz
8037706607-A	GSAv2	203533880004_R04C02_Grn.idat.gz	203533880004_R04C02_Red.idat.gz
8033684121	GSAv2	203533880004_R05C01_Grn.idat.gz	203533880004_R05C01_Red.idat.gz
8035158704	GSAv2	203533880004_R05C02_Grn.idat.gz	203533880004_R05C02_Red.idat.gz
8033684085	GSAv2	203533880004_R06C01_Grn.idat.gz	203533880004_R06C01_Red.idat.gz
8033479336	GSAv2	203533880004_R06C02_Grn.idat.gz	203533880004_R06C02_Red.idat.gz
8033684134	GSAv2	203533880004_R07C01_Grn.idat.gz	203533880004_R07C01_Red.idat.gz
8033684782	GSAv2	203533880004_R07C02_Grn.idat.gz	203533880004_R07C02_Red.idat.gz
8033684170-A	GSAv2	203533880004_R08C01_Grn.idat.gz	203533880004_R08C01_Red.idat.gz
8037706576	GSAv2	203533880004_R08C02_Grn.idat.gz	203533880004_R08C02_Red.idat.gz
8033673332	GSAv2	203533880004_R09C01_Grn.idat.gz	203533880004_R09C01_Red.idat.gz
8033479384	GSAv2	203533880004_R09C02_Grn.idat.gz	203533880004_R09C02_Red.idat.gz
8037702360	GSAv2	203533880004_R10C01_Grn.idat.gz	203533880004_R10C01_Red.idat.gz
8035167922	GSAv2	203533880004_R10C02_Grn.idat.gz	203533880004_R10C02_Red.idat.gz
8035202277	GSAv2	203533880004_R11C01_Grn.idat.gz	203533880004_R11C01_Red.idat.gz
8037706617	GSAv2	203533880004_R11C02_Grn.idat.gz	203533880004_R11C02_Red.idat.gz
8037706552	GSAv2	203533880004_R12C01_Grn.idat.gz	203533880004_R12C01_Red.idat.gz
8035201502-A	GSAv2	203533880004_R12C02_Grn.idat.gz	203533880004_R12C02_Red.idat.gz
NA12878-G	GSAv2	203533880074_R01C01_Grn.idat.gz	203533880074_R01C01_Red.idat.gz
8035201502-B	GSAv2	203533880074_R01C02_Grn.idat.gz	203533880074_R01C02_Red.idat.gz
8037702308-E	GSAv2	203533880074_R02C01_Grn.idat.gz	203533880074_R02C01_Red.idat.gz
8033684131-B	GSAv2	203533880074_R02C02_Grn.idat.gz	203533880074_R02C02_Red.idat.gz
8037737797-E	GSAv2	203533880074_R03C01_Grn.idat.gz	203533880074_R03C01_Red.idat.gz
8033684155-B	GSAv2	203533880074_R03C02_Grn.idat.gz	203533880074_R03C02_Red.idat.gz
8033673352-E	GSAv2	203533880074_R04C01_Grn.idat.gz	203533880074_R04C01_Red.idat.gz
8033684142-B	GSAv2	203533880074_R04C02_Grn.idat.gz	203533880074_R04C02_Red.idat.gz
8035158042-E	GSAv2	203533880074_R05C01_Grn.idat.gz	203533880074_R05C01_Red.idat.gz
8033684097-B	GSAv2	203533880074_R05C02_Grn.idat.gz	203533880074_R05C02_Red.idat.gz
8033684140-B	GSAv2	203533880074_R06C01_Grn.idat.gz	203533880074_R06C01_Red.idat.gz
8035134595-B	GSAv2	203533880074_R06C02_Grn.idat.gz	203533880074_R06C02_Red.idat.gz
8033684150-B	GSAv2	203533880074_R07C01_Grn.idat.gz	203533880074_R07C01_Red.idat.gz
8037706607-B	GSAv2	203533880074_R07C02_Grn.idat.gz	203533880074_R07C02_Red.idat.gz
8033684079-B	GSAv2	203533880074_R08C01_Grn.idat.gz	203533880074_R08C01_Red.idat.gz
8033162988-B	GSAv2	203533880074_R08C02_Grn.idat.gz	203533880074_R08C02_Red.idat.gz
